产品编号,产品名称,大类,小类,规格详情,成分比例,门幅,克重,工艺类型,可选颜色,参考单价(元/米),MOQ(米),库存状态,常规库存(米),预售交期(天),产品特点,适用场景
FC-001,60S天丝印花布,天丝,印花,60S/400T贡缎,100%莱赛尔,250cm,120g/m²,数码印花/活性印花,白/粉/蓝/绿/紫/灰/米,28.5,300,充足,5800,7,光泽好/手感滑爽/透气,床品套件/睡衣/内衣
FC-002,60S天丝染色布,天丝,染色,60S/400T贡缎,100%莱赛尔,250cm,120g/m²,溢流染色/卷染,支持定染,25.0,300,充足,3200,5,素色纯净/色牢度4级+,内衣/衬衫/家纺
FC-003,60S全棉印花布,全棉,印花,60S*60S/200*98平纹,100%棉,250cm,130g/m²,活性印花,白/浅粉/浅蓝/浅绿/米黄,22.8,500,充足,12000,7,高支高密/吸湿透气,高端床品/婴幼儿用品
FC-004,60S全棉染色布,全棉,染色,60S*60S/200*98平纹,100%棉,250cm,130g/m²,溢流染色/卷染,支持定染,19.5,500,充足,8500,5,耐洗耐磨/亲肤舒适,酒店床品/学校床品
FC-005,40S全棉印花布,全棉,印花,40S*40S/133*72平纹,100%棉,250cm,110g/m²,活性印花,白/蓝/绿/粉/黄/紫/咖/灰,14.2,800,充足,18000,7,性价比高/走量款,大众床品/经济型酒店
FC-006,40S全棉染色布,全棉,染色,40S*40S/133*72平纹,100%棉,250cm,110g/m²,溢流染色,支持定染,12.0,800,充足,9500,5,价格实惠/质量稳定,学校/医院/经济型酒店
FC-007,40S竹纤维印花布,竹纤维,印花,40S*40S/108*76平纹,100%竹纤维,250cm,105g/m²,数码印花,白/绿/蓝/灰,19.8,400,少量,2800,7,抗菌抑菌/环保,母婴用品/高端家纺
FC-008,40S竹纤维染色布,竹纤维,染色,40S*40S/108*76平纹,100%竹纤维,250cm,105g/m²,溢流染色,支持定染,17.5,400,少量,1500,5,凉感舒适/天然抗菌,凉席/夏被/内衣
FC-009,棉麻交织布,交织,染色,40S*14S/98*52,棉55%/麻45%,260cm,180g/m²,坯布/染色,本白/浅咖/深灰,21.0,600,正常,4200,8,透气凉爽/粗犷质感,窗帘/沙发套/抱枕
FC-010,棉天丝交织布,交织,印花,40S*60S/140*80平纹,棉40%/天丝60%,250cm,115g/m²,数码印花,白/蓝/绿/粉,24.5,400,正常,3600,7,兼顾棉的厚实和天丝的光泽,床品套件/家居服
FC-011,天丝绢丝交织布,交织,印花,60S*120D/200*100贡缎,天丝70%/绢丝30%,240cm,95g/m²,数码印花,白/金/银/粉,38.0,200,新品,1200,10,高端丝感/轻薄飘逸,礼服/高档床品/丝巾
FC-012,60S缎纹染色布,全棉,染色,60S/800T缎纹,100%棉,250cm,140g/m²,缎纹染色,支持定染,32.0,300,正常,2100,6,丝般光泽/高档质感,五星酒店/高端住宅
FC-013,全棉小提花布,提花,印花,40S*40S+20D/128*60小提花,100%棉,250cm,150g/m²,活性印花+小提花,白/蓝/灰/米,18.5,500,正常,6300,8,立体感强/花型丰富,床品/抱枕/窗帘
FC-014,全棉大提花布,提花,印花,40S*40S+20D/130*70大提花,100%棉,255cm,200g/m²,活性印花+大提花,白/金/咖/灰,26.0,400,偏少,1800,10,花型大/立体感强,窗帘/沙发套/高端床品
FC-015,天丝大提花布,提花,印花,60S+30D/180*80大提花,100%莱赛尔,250cm,130g/m²,活性印花+大提花,白/粉/蓝/紫,35.0,300,偏少,950,12,光泽+立体感双重效果,高档床品/礼品
FC-016,抗菌全棉印花布,功能,印花,40S*40S/133*72平纹,100%棉(抗菌处理),250cm,115g/m²,抗菌印花,白/蓝/绿,17.8,600,缺货,0,10,抗菌率99%+/婴童适用,婴童床品/医院/学校
FC-017,抗菌天丝印花布,功能,印花,60S/400T贡缎,100%莱赛尔(抗菌处理),250cm,125g/m²,抗菌印花,白/粉/蓝,32.0,300,缺货,0,10,抗菌+天丝双重高端属性,高端婴童/医疗级家纺
FC-018,60S长绒棉染色布,全棉,染色,60S*60S/200*100平纹,100%长绒棉,250cm,135g/m²,溢流染色,支持定染,28.0,300,正常,2800,6,长绒棉/更细腻/更高档,五星酒店/高端床品
FC-019,天丝麻交织染色,交织,染色,60S*21S/140*60,天丝60%/亚麻40%,250cm,140g/m²,交织染色,支持定染,33.0,300,正常,1600,8,凉爽透气/高端麻感,夏季床品/亚麻风格家纺
FC-020,全棉磨毛印花布,全棉,印花,40S*40S/133*72平纹,100%棉,250cm,130g/m²,磨毛印花,白/粉/蓝/绿/黄/灰,15.5,500,正常,7200,7,绒感温暖/适合冬季,冬被套件/加厚床品
FC-021,40S全棉活性黑布,全棉,染色,40S*40S/133*72平纹,100%棉,250cm,110g/m²,活性染色,纯黑/藏青,12.5,800,正常,5500,5,黑色专款/色牢度高,深色床品/工装
FC-022,60S天丝漂白布,天丝,染色,60S/400T贡缎,100%莱赛尔,250cm,120g/m²,漂白/丝光,纯白/米白,26.0,300,正常,2100,5,特白/光泽好,酒店床品/白色系家纺
FC-023,竹棉交织印花布,交织,印花,40S*60S/130*70,竹纤维40%/棉60%,250cm,115g/m²,数码印花,白/绿/蓝/灰,21.5,400,正常,3100,7,竹棉混纺/性价比高,家纺/家居服
FC-024,全棉涂层防水布,功能,染色,40S*40S/133*72平纹,100%棉,250cm,140g/m²,涂层防水,白/浅色,18.0,500,少量,800,8,防水涂层/易清洁,沙发套/抱枕/户外用品
FC-025,天丝粘胶交织布,交织,印花,60S*80S/180*90,天丝50%/粘胶50%,240cm,100g/m²,数码印花,白/粉/紫/蓝,29.0,300,正常,1800,7,丝滑垂感/适合裙装,裙装/高档睡衣/床品
