工艺编号,工艺名称,类别,计价单位,加工费(元/米),最低起订(米),周期(天),质量要求,备注
PR-001,活性印花,印花类,元/米,5.5,500,7,色牢度4级+,常规印花
PR-002,数码印花,印花类,元/米,8.0,300,5,无需制版,适合小批量
PR-003,涂料印花,印花类,元/米,3.5,800,5,成本低,适合大批量
PR-004,拔染印花,印花类,元/米,7.0,500,8,工艺复杂,需打样确认
PR-005,溢流染色,染色类,元/米,4.0,500,5,色牢度4级+,常规染色
PR-006,卷染染色,染色类,元/米,3.5,300,4,适合小批量,颜色均匀
PR-007,轧染染色,染色类,元/米,2.5,1000,3,适合大批量,成本低
PR-008,段染染色,染色类,元/米,6.0,200,6,工艺特殊,需打样
PR-009,丝光整理,后整理,元/米,1.5,1000,2,棉织物专用,光泽好
PR-010,磨毛整理,后整理,元/米,1.8,800,2,绒感保暖,冬季面料
PR-011,抗菌整理,功能整理,元/米,2.5,500,3,婴童级/医疗级,需认证
PR-012,防水涂层,功能整理,元/米,3.0,500,3,三防面料,适合户外
PR-013,定型整理,后整理,元/米,0.8,1000,1,门幅稳定,常规整理
PR-014,预缩整理,后整理,元/米,0.6,1000,1,降低缩水率,出口必备
PR-015,硬挺整理,后整理,元/米,1.0,800,1,立体感强,适合衬布
PR-016,柔软整理,后整理,元/米,1.2,800,1,手感舒适,贴身面料
PR-017,免烫整理,功能整理,元/米,4.0,500,3,适合衬衫面料,出口日本
PR-018,阻燃整理,功能整理,元/米,5.0,300,4,工装/酒店用,需认证
